YYYYMMDD,OPEN,HIGH,LOW,CLOSE
2011-09-09,5154.85,5154.85,5042.5,5043.95
2011-09-12,4969.85,4979.4,4901.0,4943.0
2011-09-13,4972.0,5040.0,4903.85,4940.5
2011-09-14,4948.0,5032.8,4908.0,5028.9
2011-09-15,5041.0,5100.0,4957.2,5098.0
2011-09-16,5124.7,5155.0,5071.0,5087.15
2011-09-19,5055.0,5063.0,5017.3,5040.75
2011-09-20,5039.0,5167.8,5035.35,5166.45
2011-09-21,5150.0,5173.9,5113.0,5136.0
2011-09-22,5010.1,5061.95,4898.15,4908.75
2011-09-23,4879.0,4935.0,4818.6,4865.25
2011-09-26,4869.8,4879.0,4756.1,4839.85
2011-09-27,4914.9,4989.1,4905.5,4981.4
2011-09-28,4989.0,4995.0,4906.2,4942.55
2011-09-29,4925.05,5036.25,4902.5,5015.6
2011-09-30,4999.8,5031.0,4920.1,4930.25
2011-10-03,4869.8,4879.0,4813.0,4867.6
2011-10-04,4823.0,4884.75,4725.55,4778.95
2011-10-05,4791.0,4844.0,4747.0,4774.8
2011-10-07,4914.9,4939.0,4872.55,4893.9
2011-10-10,4914.9,5004.0,4890.0,4999.5
2011-10-11,5033.1,5055.0,4970.0,4980.05
2011-10-12,5006.8,5118.95,5001.0,5115.9
2011-10-13,5138.85,5139.85,5066.1,5066.75
2011-10-14,5066.9,5153.7,5056.0,5142.0
2011-10-17,5150.0,5162.0,5081.0,5122.25
2011-10-18,5051.45,5063.6,5013.3,5055.2
2011-10-19,5075.0,5157.5,5070.15,5146.15
2011-10-20,5098.5,5111.0,5033.5,5106.05
2011-10-21,5102.0,5131.4,5038.6,5069.0
2011-10-24,5122.55,5157.0,5092.7,5105.7
2011-10-25,5135.5,5192.85,5086.65,5191.8
2011-10-28,5390.0,5402.75,5341.25,5384.2
2011-10-31,5369.0,5377.9,5333.65,5345.8
2011-11-01,5305.95,5335.0,5261.0,5289.45
2011-11-02,5252.25,5334.9,5243.0,5273.6
2011-11-03,5245.25,5315.0,5221.15,5308.8
2011-11-04,5348.9,5353.95,5283.55,5316.6
2011-11-08,5319.5,5333.75,5270.1,5310.95
2011-11-09,5331.95,5331.95,5226.1,5230.0
2011-11-11,5200.5,5216.0,5161.3,5199.7
2011-11-14,5243.5,5248.0,5148.0,5150.45
2011-11-15,5133.0,5175.65,5063.75,5065.25
2011-11-16,5034.3,5080.0,4997.5,5079.0
2011-11-17,5034.0,5051.0,4915.0,4925.2
2011-11-18,4909.0,4924.9,4845.25,4924.0
2011-11-21,4879.0,4879.0,4768.6,4786.85
2011-11-22,4795.0,4860.0,4780.95,4803.75
2011-11-23,4773.0,4774.5,4632.25,4704.0
2011-11-24,4709.8,4768.0,4633.2,4756.5
2011-11-25,4750.0,4778.4,4688.55,4707.3
2011-11-28,4763.7,4874.45,4763.0,4872.0
2011-11-29,4872.0,4885.0,4788.0,4812.45
2011-11-30,4771.0,4862.0,4756.55,4844.0
2011-12-01,4995.7,5015.05,4936.0,4956.75
2011-12-02,4939.0,5094.0,4939.0,5093.05
2011-12-05,5060.0,5085.9,5022.2,5074.0
2011-12-07,5069.8,5134.65,5055.0,5066.8
2011-12-08,5049.0,5073.85,4938.35,4949.6
2011-12-09,4889.4,4942.65,4850.1,4882.95
2011-12-12,4915.0,4915.0,4762.0,4769.0
2011-12-13,4733.6,4839.7,4731.2,4836.75
2011-12-14,4789.95,4848.0,4751.05,4763.1
2011-12-15,4711.2,4784.0,4671.1,4763.7
2011-12-16,4782.95,4839.9,4624.5,4626.35
2011-12-19,4580.0,4634.4,4561.25,4615.0
2011-12-20,4629.9,4638.65,4538.0,4566.8
2011-12-21,4641.55,4725.0,4613.6,4723.0
2011-12-22,4679.95,4758.0,4640.0,4752.05
2011-12-23,4775.0,4777.8,4696.55,4723.0
2011-12-26,4729.65,4803.5,4720.0,4782.35
2011-12-27,4773.3,4807.45,4728.0,4759.2
2011-12-28,4757.0,4757.0,4683.0,4704.5
2011-12-29,4680.0,4702.55,4638.7,4646.05
2011-12-30,4685.15,4708.9,4614.0,4626.25
2012-01-02,4638.0,4656.0,4592.4,4650.5
2012-01-03,4695.0,4794.4,4690.0,4776.1
2012-01-04,4775.2,4799.0,4737.6,4754.4
2012-01-05,4756.15,4791.85,4740.1,4753.55
2012-01-06,4745.0,4821.0,4692.6,4782.0
2012-01-07,4768.0,4768.85,4755.0,4766.0
2012-01-09,4744.95,4778.0,4705.15,4757.45
2012-01-10,4783.7,4876.3,4779.5,4871.85
2012-01-11,4875.0,4889.0,4848.7,4869.95
2012-01-12,4853.0,4888.0,4818.25,4866.55
2012-01-13,4870.0,4917.8,4844.25,4885.5
2012-01-16,4854.7,4899.7,4835.35,4896.8
2012-01-17,4912.55,4988.4,4912.55,4972.55
2012-01-18,4974.0,4980.0,4933.7,4947.0
2012-01-19,4996.0,5027.2,4991.0,5020.35
2012-01-20,5050.6,5064.8,5006.35,5058.9
2012-01-23,5034.0,5062.3,5034.0,5052.0
2012-01-24,5071.05,5149.5,5048.6,5109.9
2012-01-25,5150.0,5177.25,5130.0,5159.0
2012-01-27,5201.0,5224.95,5171.5,5212.8
2012-01-30,5190.0,5190.0,5101.1,5104.95
2012-01-31,5133.7,5234.0,5130.0,5227.75
2012-02-01,5205.25,5271.5,5178.5,5269.75
2012-02-02,5294.0,5299.9,5232.3,5274.05
2012-02-03,5281.15,5357.5,5264.05,5339.0
2012-02-06,5386.6,5398.0,5332.65,5362.0
2012-02-07,5400.0,5414.8,5340.0,5358.3
2012-02-08,5366.6,5424.75,5343.35,5395.0
2012-02-09,5371.9,5451.65,5304.65,5449.0
2012-02-10,5424.8,5443.0,5350.2,5388.0
2012-02-13,5395.25,5444.5,5368.65,5414.95
2012-02-14,5404.0,5454.0,5395.6,5452.3
2012-02-15,5481.1,5564.45,5475.0,5551.0
2012-02-16,5531.2,5546.85,5501.55,5529.5
2012-02-17,5700.0,5700.0,5565.0,5597.5
2012-02-21,5571.0,5634.7,5569.9,5620.0
2012-02-22,5617.55,5632.65,5502.15,5518.1
2012-02-23,5509.75,5541.8,5465.45,5483.9
2012-02-24,5532.0,5564.15,5456.25,5485.0
2012-02-27,5478.0,5478.0,5326.2,5329.6
2012-02-28,5362.5,5459.0,5355.25,5445.0
2012-02-29,5490.0,5515.95,5400.0,5434.95
2012-03-01,5424.0,5427.0,5341.0,5379.0
2012-03-02,5409.8,5438.0,5351.45,5392.0
2012-03-03,5394.1,5403.0,5386.5,5396.5
2012-03-05,5377.35,5377.35,5295.0,5320.5
2012-03-06,5292.0,5428.0,5232.2,5232.2
2012-03-07,5229.9,5279.15,5201.0,5257.0
2012-03-09,5320.0,5373.8,5311.65,5368.9
2012-03-12,5407.0,5423.15,5345.3,5388.0
2012-03-13,5438.95,5476.0,5370.0,5474.65
2012-03-14,5526.15,5542.0,5472.0,5508.5
2012-03-15,5486.1,5495.0,5397.35,5413.15
2012-03-16,5418.9,5480.0,5330.65,5334.0
2012-03-19,5350.0,5359.9,5258.6,5273.95
2012-03-20,5279.0,5326.8,5251.0,5290.0
2012-03-21,5288.0,5405.0,5275.6,5403.25
2012-03-22,5380.0,5410.0,5220.5,5225.6
2012-03-23,5265.0,5328.8,5231.3,5297.85
2012-03-26,5270.55,5273.95,5181.0,5191.25
2012-03-27,5248.95,5295.0,5188.15,5265.65
2012-03-28,5227.0,5247.25,5171.0,5199.0
2012-03-29,5146.0,5187.45,5133.7,5179.5
2012-03-30,5250.0,5346.9,5239.0,5321.0
2012-04-02,5300.0,5372.0,5300.0,5357.45
2012-04-03,5377.0,5402.0,5367.8,5382.85
2012-04-04,5361.0,5361.0,5324.75,5349.4
2012-04-09,5294.0,5301.9,5245.05,5252.25
2012-04-10,5261.15,5277.5,5226.0,5264.35
2012-04-11,5224.0,5292.25,5203.15,5267.0
2012-04-12,5274.7,5308.4,5260.0,5285.0
2012-04-13,5303.9,5330.0,5195.2,5210.75
2012-04-16,5188.9,5258.0,5182.0,5256.3
2012-04-17,5249.7,5325.3,5221.15,5322.0
2012-04-18,5347.0,5364.45,5312.25,5315.05
2012-04-19,5330.05,5366.15,5312.85,5364.0
2012-04-20,5310.0,5353.55,5000.0,5303.15
2012-04-23,5297.0,5314.65,5182.25,5184.0
2012-04-24,5199.8,5238.9,5186.2,5229.3
2012-04-25,5220.0,5235.4,5153.4,5197.0
2012-04-26,5221.15,5221.15,5174.95,5189.2
2012-04-27,5200.0,5250.0,5168.5,5209.75
2012-04-28,5216.0,5240.0,5215.0,5232.2
2012-04-30,5229.0,5288.0,5226.15,5268.9
2012-05-02,5281.3,5301.7,5236.05,5244.55
2012-05-03,5224.0,5233.95,5189.0,5205.95
2012-05-04,5171.1,5181.4,5082.55,5090.5
2012-05-07,5024.35,5139.5,5001.0,5138.9
2012-05-08,5120.0,5126.0,4987.05,4995.1
2012-05-09,4965.7,5027.95,4954.95,4984.5
2012-05-10,4987.0,5045.8,4945.55,4975.0
2012-05-11,5056.0,5056.0,4900.1,4929.0
2012-05-14,4930.0,4950.0,4865.05,4878.0
2012-05-15,4860.0,4954.75,4860.0,4939.0
2012-05-16,4865.0,4878.55,4827.3,4853.0
2012-05-17,4872.0,4911.45,4830.0,4852.7
2012-05-18,4778.0,4906.3,4767.45,4905.0
2012-05-21,4896.65,4931.95,4882.4,4885.95
2012-05-22,4935.0,4940.0,4830.45,4845.3
2012-05-23,4827.7,4838.35,4782.2,4810.15
2012-05-24,4830.1,4924.9,4812.2,4922.0
2012-05-25,4905.4,4933.0,4877.25,4927.25
2012-05-28,4929.0,4987.7,4925.2,4987.25
2012-05-29,5011.3,5011.3,4966.1,4976.05
2012-05-30,4949.95,4964.0,4926.1,4930.75
2012-05-31,4900.0,4926.55,4880.2,4924.1
2012-06-01,4908.5,4914.55,4815.0,4817.85
2012-06-04,4775.0,4852.0,4760.5,4851.0
2012-06-05,4856.0,4878.8,4822.1,4844.0
2012-06-06,4882.65,4987.8,4882.65,4975.3
2012-06-07,5025.0,5037.4,4981.0,5033.3
2012-06-08,5009.0,5079.0,4965.0,5076.25
2012-06-11,5101.2,5124.0,5034.5,5038.75
2012-06-12,5025.0,5138.0,5022.0,5121.35
2012-06-13,5120.0,5144.85,5090.65,5127.05
2012-06-14,5113.15,5138.75,5046.25,5051.9
2012-06-15,5075.15,5156.0,5072.8,5140.55
2012-06-18,5180.5,5191.0,5031.35,5066.0
2012-06-19,5058.0,5120.9,5047.15,5114.95
2012-06-20,5114.3,5143.9,5096.25,5129.9
2012-06-21,5109.95,5178.5,5092.05,5177.0
2012-06-22,5110.1,5167.05,5090.6,5155.25
2012-06-25,5148.9,5202.9,5098.2,5105.55
2012-06-26,5101.1,5141.5,5093.35,5137.0
2012-06-27,5151.85,5162.15,5124.0,5141.15
2012-06-28,5154.0,5159.0,5121.0,5149.0
2012-06-29,5215.3,5309.75,5215.3,5288.75
2012-07-02,5311.25,5324.9,5278.15,5290.6
2012-07-03,5321.65,5333.7,5271.5,5302.0
2012-07-04,5317.7,5331.85,5287.35,5323.0
2012-07-05,5311.35,5354.5,5307.5,5339.0
2012-07-06,5334.8,5340.0,5297.4,5329.25
2012-07-09,5310.0,5318.0,5263.0,5278.55
2012-07-10,5284.9,5363.7,5280.0,5356.5
2012-07-11,5326.3,5352.15,5312.6,5321.75
2012-07-12,5270.0,5279.95,5228.65,5247.15
2012-07-13,5256.85,5276.9,5228.8,5240.05
2012-07-16,5242.0,5261.05,5199.0,5208.05
2012-07-17,5245.25,5248.0,5188.2,5193.0
2012-07-18,5209.0,5237.25,5177.2,5225.0
2012-07-19,5260.6,5268.35,5242.5,5257.85
2012-07-20,5241.85,5248.5,5205.7,5221.1
2012-07-23,5173.25,5174.0,5111.55,5122.05
